record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags
2,221,1757714302942,1757714303504,-616,9759,-2366,31
2,222,1757714303109,1757714303654,-615,9775,-2371,31
2,223,1757714303275,1757714303654,-615,9775,-2371,31
2,224,1757714303442,1757714304024,-615,9775,-2371,31
2,225,1757714303609,1757714304172,-617,9748,-2410,31
2,225,1757714303609,1757714304172,-617,9748,-2410,31
2,226,1757714303775,1757714304367,-632,9738,-2389,31
2,227,1757714303942,1757714304515,-621,9740,-2398,31
2,228,1757714304109,1757714304664,-633,9756,-2317,31
2,230,1757714304442,1757714305038,-633,9756,-2317,31
2,230,1757714304442,1757714305038,-633,9756,-2317,31
2,231,1757714304609,1757714305186,-629,9766,-2362,31
2,232,1757714304775,1757714305383,-619,9762,-2354,31
2,233,1757714304942,1757714305492,-639,9754,-2362,31
2,234,1757714305109,1757714305693,-625,9747,-2355,31
2,236,1757714305442,1757714306047,-630,9737,-2319,31
2,236,1757714305442,1757714306047,-630,9737,-2319,31
2,237,1757714305609,1757714306195,-608,9758,-2364,31
2,238,1757714305775,1757714306403,-635,9767,-2396,31
2,239,1757714305942,1757714306503,-629,9759,-2359,31
2,240,1757714306109,1757714306652,-619,9751,-2409,31
2,241,1757714306275,1757714306652,-619,9751,-2409,31
2,242,1757714306442,1757714307071,-619,9751,-2409,31
2,243,1757714306609,1757714307220,-628,9737,-2411,31
2,244,1757714306775,1757714307418,-624,9742,-2365,31
2,246,1757714307109,1757714307666,-624,9740,-2380,31
2,246,1757714307109,1757714307666,-624,9740,-2380,31
2,247,1757714307275,1757714307666,-624,9740,-2380,31
2,248,1757714307442,1757714308029,-624,9740,-2380,31
2,249,1757714307609,1757714308238,-625,9742,-2444,31
2,250,1757714307775,1757714308386,-630,9727,-2471,31
2,251,1757714307942,1757714308587,-634,9742,-2429,31
2,253,1757714308275,1757714308745,-628,9749,-2402,31
2,254,1757714308442,1757714309098,-628,9749,-2402,31
2,255,1757714308609,1757714309246,-611,9734,-2424,31
2,256,1757714308775,1757714309404,-624,9748,-2383,31
2,257,1757714308942,1757714309606,-603,9738,-2434,31
2,258,1757714309109,1757714309754,-617,9738,-2421,31
2,259,1757714309275,1757714309854,-624,9741,-2381,31
2,260,1757714309442,1757714310063,-624,9741,-2381,31
2,261,1757714309609,1757714310273,-607,9718,-2428,31
2,262,1757714309775,1757714310421,-608,9735,-2417,31
2,263,1757714309942,1757714310570,-627,9756,-2355,31
2,264,1757714310109,1757714310771,-632,9754,-2419,31
2,265,1757714310275,1757714310930,-624,9739,-2387,31
2,266,1757714310442,1757714311080,-624,9739,-2387,31
2,267,1757714310609,1757714311280,-628,9734,-2397,31
2,268,1757714310775,1757714311428,-623,9732,-2361,31
2,269,1757714310942,1757714311626,-620,9740,-2385,31
2,270,1757714311109,1757714311735,-644,9738,-2346,31
2,271,1757714311275,1757714311885,-640,9746,-2354,31
2,272,1757714311442,1757714312096,-640,9746,-2354,31
2,273,1757714311609,1757714312295,-621,9769,-2378,31
2,274,1757714311775,1757714312453,-635,9759,-2404,31
2,275,1757714311942,1757714312651,-617,9754,-2385,31
2,276,1757714312109,1757714312751,-631,9752,-2453,31
2,277,1757714312275,1757714312900,-630,9741,-2455,31
2,278,1757714312442,1757714313113,-630,9741,-2455,31
2,279,1757714312609,1757714313322,-623,9747,-2501,31
2,280,1757714312775,1757714313470,-617,9707,-2453,31
2,281,1757714312942,1757714313620,-623,9752,-2363,31
2,282,1757714313109,1757714313821,-631,9744,-2415,31
2,283,1757714313275,1757714313979,-602,9758,-2392,31
2,284,1757714313442,1757714314131,-611,9771,-2418,31
2,285,1757714313609,1757714314331,-622,9755,-2457,31
2,286,1757714313775,1757714314479,-623,9748,-2396,31
2,287,1757714313942,1757714314629,-618,9743,-2435,31
2,288,1757714314109,1757714314836,-624,9737,-2463,31
2,289,1757714314275,1757714314985,-620,9762,-2421,31
2,290,1757714314442,1757714315147,-630,9746,-2465,31
2,291,1757714314609,1757714315245,-628,9760,-2463,31
2,292,1757714314775,1757714315495,-632,9747,-2460,31
2,293,1757714314942,1757714315652,-623,9754,-2405,31
2,294,1757714315109,1757714315802,-606,9753,-2440,31
2,294,1757714315109,1757714315802,-606,9753,-2440,31
2,295,1757714315275,1757714316002,-638,9770,-2460,31
2,296,1757714315442,1757714316153,-619,9759,-2440,31
2,297,1757714315609,1757714316201,-635,9750,-2397,31
2,298,1757714315775,1757714316201,-635,9750,-2397,31
2,299,1757714315942,1757714316672,-635,9750,-2397,31
2,300,1757714316109,1757714316779,-626,9772,-2456,31
2,301,1757714316275,1757714316928,-636,9771,-2422,31
2,301,1757714316275,1757714316928,-636,9771,-2422,31
2,303,1757714316609,1757714317287,-619,9739,-2350,31
2,304,1757714316775,1757714317287,-619,9739,-2350,31
2,305,1757714316942,1757714317689,-619,9739,-2350,31
2,306,1757714317109,1757714317797,-624,9744,-2417,31
2,307,1757714317275,1757714317947,-633,9763,-2454,31
2,308,1757714317442,1757714318197,-640,9759,-2419,31
2,309,1757714317609,1757714318297,-624,9774,-2438,31
2,310,1757714317775,1757714318297,-624,9774,-2438,31
2,311,1757714317942,1757714318707,-624,9774,-2438,31
2,312,1757714318109,1757714318867,-622,9738,-2465,31
2,313,1757714318275,1757714319017,-614,9773,-2442,31
2,314,1757714318442,1757714319218,-612,9749,-2413,31
2,314,1757714318442,1757714319218,-612,9749,-2413,31
2,316,1757714318775,1757714319375,-611,9758,-2395,31
2,317,1757714318942,1757714319723,-611,9758,-2395,31
2,317,1757714318942,1757714319723,-611,9758,-2395,31
2,318,1757714319109,1757714319822,-624,9775,-2320,31
2,319,1757714319275,1757714319970,-602,9769,-2350,31
2,320,1757714319442,1757714320228,-609,9764,-2369,31
2,321,1757714319609,1757714320377,-620,9762,-2392,31
2,322,1757714319775,1757714320424,-595,9743,-2367,31
2,323,1757714319942,1757714320742,-595,9743,-2367,31
2,324,1757714320109,1757714320850,-621,9734,-2432,31
2,325,1757714320275,1757714320999,-631,9742,-2401,31
2,326,1757714320442,1757714321251,-616,9760,-2369,31
2,327,1757714320609,1757714321350,-613,9757,-2435,31
2,328,1757714320775,1757714321350,-613,9757,-2435,31
2,329,1757714320942,1757714321350,-613,9757,-2435,31
2,330,1757714321109,1757714321862,-610,9734,-2365,31
2,331,1757714321275,1757714322010,-581,9744,-2335,31
2,332,1757714321442,1757714322158,-592,9748,-2335,31
2,333,1757714321609,1757714322408,-611,9769,-2343,31
2,334,1757714321775,1757714322567,-627,9756,-2375,31
2,334,1757714321775,1757714322567,-627,9756,-2375,31
2,335,1757714321942,1757714322567,-627,9756,-2375,31
2,337,1757714322275,1757714323019,-618,9761,-2394,31
2,338,1757714322442,1757714323177,-613,9763,-2343,31
2,339,1757714322609,1757714323425,-609,9751,-2430,31
2,340,1757714322775,1757714323573,-611,9749,-2362,31
2,341,1757714322942,1757714323621,-604,9755,-2444,31
2,342,1757714323109,1757714323890,-603,9739,-2400,31
2,343,1757714323275,1757714324048,-619,9744,-2353,31
2,344,1757714323442,1757714324197,-601,9751,-2378,31
2,345,1757714323609,1757714324449,-625,9764,-2383,31
2,346,1757714323775,1757714324548,-615,9752,-2375,31
2,347,1757714323942,1757714324548,-615,9752,-2375,31
2,349,1757714324275,1757714325063,-611,9751,-2407,31
2,350,1757714324442,1757714325212,-622,9760,-2359,31
2,351,1757714324609,1757714325463,-620,9730,-2392,31
2,352,1757714324775,1757714325572,-618,9730,-2433,31
2,352,1757714324775,1757714325572,-618,9730,-2433,31
2,353,1757714324942,1757714325572,-618,9730,-2433,31
2,354,1757714325109,1757714325921,-612,9719,-2400,31
2,355,1757714325275,1757714326069,-617,9733,-2429,31
2,356,1757714325442,1757714326227,-611,9744,-2460,31
2,357,1757714325609,1757714326478,-614,9743,-2412,31
2,358,1757714325775,1757714326626,-617,9759,-2379,31
2,359,1757714325942,1757714326726,-620,9769,-2350,31
2,361,1757714326275,1757714327098,-608,9756,-2405,31
2,362,1757714326442,1757714327246,-613,9760,-2381,31
2,363,1757714326609,1757714327394,-642,9779,-2371,31
2,364,1757714326775,1757714327643,-641,9764,-2403,31
2,365,1757714326942,1757714327791,-647,9769,-2376,31
2,366,1757714327109,1757714327966,-640,9761,-2413,31
2,367,1757714327275,1757714328167,-624,9750,-2403,31
2,368,1757714327442,1757714328267,-624,9740,-2381,31
2,369,1757714327609,1757714328416,-654,9749,-2416,31
2,370,1757714327775,1757714328676,-626,9738,-2294,31
2,371,1757714327942,1757714328776,-632,9735,-2389,31
2,371,1757714327942,1757714328776,-632,9735,-2389,31
2,372,1757714328109,1757714328972,-618,9765,-2359,31
2,374,1757714328442,1757714329269,-634,9749,-2359,31
2,374,1757714328442,1757714329269,-634,9749,-2359,31
2,375,1757714328609,1757714329478,-625,9750,-2348,31
2,376,1757714328775,1757714329679,-629,9747,-2380,31
2,378,1757714329109,1757714329989,-616,9743,-2403,31
2,379,1757714329275,1757714330147,-644,9758,-2379,31
2,380,1757714329442,1757714330295,-623,9746,-2366,31
2,381,1757714329609,1757714330444,-642,9756,-2334,31
2,382,1757714329775,1757714330696,-629,9738,-2389,31
2,383,1757714329942,1757714330795,-621,9754,-2379,31
2,383,1757714329942,1757714330795,-621,9754,-2379,31
2,385,1757714330275,1757714330953,-620,9725,-2388,31
2,385,1757714330275,1757714330953,-620,9725,-2388,31
2,386,1757714330442,1757714330953,-620,9725,-2388,31
2,387,1757714330609,1757714331515,-622,9760,-2393,31
2,388,1757714330775,1757714331673,-616,9736,-2380,31
2,389,1757714330942,1757714331875,-618,9724,-2384,31
2,391,1757714331275,1757714332023,-611,9737,-2319,31
2,392,1757714331442,1757714332023,-611,9737,-2319,31
2,393,1757714331609,1757714332539,-628,9715,-2373,31
2,393,1757714331609,1757714332539,-628,9715,-2373,31
2,394,1757714331775,1757714332688,-616,9722,-2381,31
2,395,1757714331942,1757714332838,-633,9723,-2344,31
2,396,1757714332109,1757714333038,-645,9715,-2358,31
2,397,1757714332275,1757714333038,-645,9715,-2358,31
2,398,1757714332442,1757714333038,-645,9715,-2358,31
2,399,1757714332609,1757714333559,-607,9722,-2341,31
2,400,1757714332775,1757714333659,-624,9749,-2313,31
2,401,1757714332942,1757714333808,-597,9728,-2387,31
2,402,1757714333109,1757714334068,-621,9734,-2328,31
2,403,1757714333275,1757714334068,-621,9734,-2328,31
2,404,1757714333442,1757714334068,-621,9734,-2328,31
2,406,1757714333775,1757714334668,-638,9740,-2338,31
2,407,1757714333942,1757714334826,-618,9715,-2367,31
2,409,1757714334275,1757714335078,-622,9726,-2389,31
2,410,1757714334442,1757714335078,-622,9726,-2389,31
2,411,1757714334609,1757714335543,-622,9726,-2389,31
2,412,1757714334775,1757714335741,-622,9734,-2392,31
2,413,1757714334942,1757714335890,-613,9715,-2387,31
2,414,1757714335109,1757714336040,-631,9729,-2357,31
2,415,1757714335275,1757714336140,-622,9744,-2375,31
2,416,1757714335442,1757714336140,-622,9744,-2375,31
2,417,1757714335609,1757714336563,-622,9744,-2375,31
2,418,1757714335775,1757714336711,-618,9711,-2349,31
2,419,1757714335942,1757714336912,-622,9721,-2389,31
2,420,1757714336109,1757714337070,-617,9727,-2353,31
2,421,1757714336275,1757714337170,-613,9715,-2378,31
2,422,1757714336442,1757714337170,-613,9715,-2378,31
2,423,1757714336609,1757714337570,-613,9715,-2378,31
2,423,1757714336609,1757714337570,-613,9715,-2378,31
2,424,1757714336775,1757714337765,-614,9743,-2436,31
2,425,1757714336942,1757714337922,-605,9724,-2415,31
2,426,1757714337109,1757714338070,-617,9733,-2425,31
2,427,1757714337275,1757714338219,-619,9731,-2434,31
2,429,1757714337609,1757714338594,-619,9731,-2434,31
2,430,1757714337775,1757714338791,-600,9720,-2393,31
2,431,1757714337942,1757714338890,-609,9728,-2387,31
2,432,1757714338109,1757714339039,-625,9735,-2365,31
2,433,1757714338275,1757714339290,-615,9719,-2389,31
2,434,1757714338442,1757714339290,-615,9719,-2389,31
2,435,1757714338609,1757714339610,-615,9719,-2389,31
2,436,1757714338775,1757714339758,-605,9728,-2375,31
2,437,1757714338942,1757714339955,-612,9755,-2411,31
2,438,1757714339109,1757714340104,-622,9728,-2397,31
2,439,1757714339275,1757714340263,-624,9730,-2363,31
2,440,1757714339442,1757714340363,-615,9748,-2381,31
2,441,1757714339609,1757714340617,-615,9748,-2381,31
2,442,1757714339775,1757714340815,-609,9748,-2394,31
2,443,1757714339942,1757714340924,-617,9738,-2393,31
2,444,1757714340109,1757714341072,-624,9739,-2379,31
2,445,1757714340275,1757714341325,-629,9753,-2390,31
2,446,1757714340442,1757714341424,-627,9721,-2404,31
2,447,1757714340609,1757714341636,-627,9721,-2404,31
2,448,1757714340775,1757714341793,-620,9728,-2377,31
2,448,1757714340775,1757714341793,-620,9728,-2377,31
2,450,1757714341109,1757714342143,-616,9738,-2368,31
2,451,1757714341275,1757714342292,-609,9728,-2431,31
2,452,1757714341442,1757714342503,-617,9724,-2389,31
2,453,1757714341609,1757714342654,-617,9724,-2389,31
2,454,1757714341775,1757714342803,-608,9702,-2328,31
2,455,1757714341942,1757714343003,-619,9738,-2378,31
2,456,1757714342109,1757714343102,-606,9737,-2433,31
2,457,1757714342275,1757714343260,-612,9680,-2393,31
2,458,1757714342442,1757714343510,-610,9747,-2362,31
2,459,1757714342609,1757714343669,-610,9747,-2362,31
2,460,1757714342775,1757714343817,-602,9748,-2372,31
2,461,1757714342942,1757714343976,-621,9734,-2307,31
2,462,1757714343109,1757714344176,-622,9734,-2312,31
2,463,1757714343275,1757714344326,-598,9710,-2295,31
2,464,1757714343442,1757714344475,-590,9732,-2266,31
2,465,1757714343609,1757714344688,-600,9724,-2281,31
2,466,1757714343775,1757714344846,-623,9730,-2279,31
