record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags,record_timestamp_iso,record_delta_ms
2,13,1761745648162,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,7,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,9,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.162000+00:00,166
2,14,1761745648329,0,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,2,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,4,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,5,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,6,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,8,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.329000+00:00,167
2,14,1761745648329,9,862,213,462,-210,-210,630,31,2025-10-29T13:47:28.329000+00:00,167
2,15,1761745648496,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,2,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,5,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,6,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,7,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.496000+00:00,167
2,15,1761745648496,9,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.496000+00:00,167
2,16,1761745648662,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,5,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,8,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,9,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.662000+00:00,166
2,17,1761745648829,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,2,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,5,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,9,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.829000+00:00,167
2,18,1761745648996,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,1,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,3,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,4,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,5,862,213,462,-140,-140,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,19,1761745649162,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,20,1761745649329,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
